Type,Date,Description,Amount,Source,Vendor,Category,Violation,Period,SubType
BALANCE,,,38844.08,,,,,,Beginning,
BALANCE,,,31985.25,,,,,,Ending,
DEPOSIT,01/06,Online Transfer From Chk 5129,1000,Account 5129,,Transfer,false,January,
DEPOSIT,01/07,Online Transfer From Chk 5129,480,Account 5129,,Transfer,false,January,
DEPOSIT,01/07,Online Transfer From Chk 5129,480,Account 5129,,Transfer,false,January,
DEPOSIT,01/10,Online Transfer From Chk 8053,1191,Account 8053,,Transfer,false,January,
DEPOSIT,01/22,Remote Online Deposit,6785.71,Remote Deposit,,Operating,false,January,
DEPOSIT,01/22,Remote Online Deposit,1200,Remote Deposit,,Operating,false,January,
DEPOSIT,01/22,Remote Online Deposit,407,Remote Deposit,,Operating,false,January,
DEPOSIT,01/30,Remote Online Deposit,8106.07,Remote Deposit,,Operating,false,January,
DEPOSIT,01/31,Interest Payment,0.19,Chase Bank,,Interest,false,January,
WITHDRAWAL,01/07,Online ACH Payment To Ryder,22654,Ryder,,Equipment,false,January,
WITHDRAWAL,01/08,Popular Bank Loan Payment,534.8,Popular Bank,,Loan,false,January,
WITHDRAWAL,01/08,Online Transfer To Chk 5129,3320,Account 5129,,Transfer,false,January,
