Type,Date,Description,Amount,Source,Vendor,Category,Violation,Period,SubType
BALANCE,,,23076.98,,,,,,Beginning,
BALANCE,,,93276.98,,,,,,Ending,
DEPOSIT,03/04,Online ACH Payment Ryder,6516.66,Ryder,,Equipment,false,March,
DEPOSIT,03/07,Chips Credit Via Citibank,5805.54,Citibank,,Credit,false,March,
DEPOSIT,03/13,Remote Online Deposit,6000,Remote Deposit,,Operating,false,March,
DEPOSIT,03/14,Online Transfer From Chk 5129,18323.62,Account 5129,,Transfer,false,March,
DEPOSIT,03/14,Online Transfer From Chk 5129,13503,Account 5129,,Transfer,false,March,
DEPOSIT,03/18,Online Transfer From Chk 5129,11000,Account 5129,,Transfer,false,March,
DEPOSIT,03/18,Online Transfer From Chk 5129,9317.55,Account 5129,,Transfer,false,March,
DEPOSIT,03/19,Online Transfer From Chk 5129,1132.45,Account 5129,,Transfer,false,March,
DEPOSIT,03/19,Online ACH Payment Ryder,21200,Ryder,,Equipment,false,March,
DEPOSIT,03/20,Deposit,6685.54,Various,,Operating,false,March,
DEPOSIT,03/20,Deposit,5506.07,Various,,Operating,false,March,
DEPOSIT,03/21,Online ACH Payment Pinnacleengroup,22450,Pinnacleengroup,,Services,false,March,
DEPOSIT,03/25,Chips Credit Via Citibank,1510,Citibank,,Credit,false,March,
DEPOSIT,03/25,Credit Return Online ACH Payment Pinnacleengroup,22450,Pinnacleengroup,,Services,false,March,
DEPOSIT,03/25,Online Transfer From Chk 5129,6756.07,Account 5129,,Transfer,false,March,
DEPOSIT,03/28,Remote Online Deposit,4343.92,Remote Deposit,,Operating,false,March,
DEPOSIT,03/28,Online Transfer From Chk 5129,14830.79,Account 5129,,Transfer,false,March,
DEPOSIT,03/31,Interest Payment,0.4,Chase Bank,,Interest,false,March,
WITHDRAWAL,03/03,Popular Bank Loan Payment,968.29,Popular Bank,,Loan,false,March,
WITHDRAWAL,03/07,Domestic Incoming Wire Fee,15,Chase Bank,,Fees,false,March,
WITHDRAWAL,03/21,South Florida Te,3500,South Florida Te,,Utilities,false,March,
