Type,Date,Description,Amount,Source,Vendor,Category,Violation,Period,SubType
BALANCE,,,93276.98,,,,,,Beginning,
BALANCE,,,83246.89,,,,,,Ending,
DEPOSIT,04/02,Remote Online Deposit,1700,Remote Deposit,,Operating,false,April,
DEPOSIT,04/02,Remote Online Deposit,90,Remote Deposit,,Operating,false,April,
DEPOSIT,04/11,Remote Online Deposit,407,Remote Deposit,,Operating,false,April,
DEPOSIT,04/14,Online Transfer From Chk 5129,6685.54,Account 5129,,Transfer,false,April,
DEPOSIT,04/14,Online Transfer From Chk 5129,5785.54,Account 5129,,Transfer,false,April,
DEPOSIT,04/14,Online Transfer From Chk 5129,1140,Account 5129,,Transfer,false,April,
DEPOSIT,04/21,Online Transfer From Chk 5129,180,Account 5129,,Transfer,false,April,
DEPOSIT,04/23,Remote Online Deposit,2600,Remote Deposit,,Operating,false,April,
DEPOSIT,04/28,Online Transfer From Chk 5129,8006.07,Account 5129,,Transfer,false,April,
DEPOSIT,04/30,Interest Payment,0.58,Chase Bank,,Interest,false,April,
WITHDRAWAL,04/01,Popular Bank Loan Payment,1525.3,Popular Bank,,Loan,false,April,
WITHDRAWAL,04/03,Withdrawal,22450,Various,,Withdrawal,false,April,
WITHDRAWAL,04/04,Online ACH Payment To Ryder,1170,Ryder,,Equipment,false,April,
WITHDRAWAL,04/04,Online ACH Payment To Ryder,7000,Ryder,,Equipment,false,April,
WITHDRAWAL,04/10,South Florida Te,4479.52,South Florida Te,,Utilities,false,April,
