Type,Date,Description,Amount,Source,Vendor,Category,Violation,Period,SubType
BALANCE,,,31406.58,,,,,,Beginning,
BALANCE,,,52622.74,,,,,,Ending,
DEPOSIT,07/03,Online Transfer From Chk 5129,930,Account 5129,,Transfer,false,July,
DEPOSIT,07/03,Online Transfer From Chk 5129,897.17,Account 5129,,Transfer,false,July,
DEPOSIT,07/07,Remote Online Deposit,497,Remote Deposit,,Operating,false,July,
DEPOSIT,07/07,Online Transfer From Chk 5129,1200,Account 5129,,Transfer,false,July,
DEPOSIT,07/18,Online Transfer From Chk 5129,180,Account 5129,,Transfer,false,July,
DEPOSIT,07/18,Online Transfer From Chk 5129,90,Account 5129,,Transfer,false,July,
DEPOSIT,07/24,Online Transfer From Chk 5129,7641.52,Account 5129,,Transfer,false,July,
DEPOSIT,07/28,Online Transfer From Chk 5129,90,Account 5129,,Transfer,false,July,
DEPOSIT,07/31,Online Transfer From Chk 5129,10000,Account 5129,,Transfer,false,July,
DEPOSIT,07/31,Online Transfer From Chk 5129,394,Account 5129,,Transfer,false,July,
DEPOSIT,07/31,Interest Payment,0.3,Chase Bank,,Interest,false,July,
WITHDRAWAL,07/01,Popular Bank Loan Payment,703.83,Popular Bank,,Loan,false,July,
