Type,Date,Description,Amount,Source,Vendor,Category,Violation,Period,SubType
BALANCE,,,52622.74,,,,,,Beginning,
BALANCE,,,73800.89,,,,,,Ending,
DEPOSIT,08/01,Remote Online Deposit,497,Remote Deposit,,Operating,false,August,
DEPOSIT,08/01,Online Transfer From Chk 5129,90,Account 5129,,Transfer,false,August,
DEPOSIT,08/04,Online Transfer From Chk 5129,15000,Account 5129,,Transfer,false,August,
DEPOSIT,08/04,Online Transfer From Chk 5129,1270,Account 5129,,Transfer,false,August,
DEPOSIT,08/05,Online Transfer From Chk 5129,3149.06,Account 5129,,Transfer,false,August,
DEPOSIT,08/05,Online Transfer From Chk 5129,1047.25,Account 5129,,Transfer,false,August,
DEPOSIT,08/08,Online Transfer From Chk 5129,90,Account 5129,,Transfer,false,August,
DEPOSIT,08/19,Online Transfer From Chk 5129,90,Account 5129,,Transfer,false,August,
DEPOSIT,08/22,Remote Online Deposit,497,Remote Deposit,,Operating,false,August,
DEPOSIT,08/29,Interest Payment,0.56,Chase Bank,,Interest,false,August,
WITHDRAWAL,08/01,Popular Bank Loan Payment,552.72,Popular Bank,,Loan,false,August,
